Input Frequency,Desired Frequency,Real Frequency,D,M,O
125,100,100.0,1,6.5,8.125
125,101,101.1029411764706,1,6.875,8.5
125,102,101.92307692307692,1,6.625,8.125
125,103,103.17460317460318,1,6.5,7.875
125,104,103.84615384615384,1,6.75,8.125
125,105,104.83870967741936,1,6.5,7.75
125,106,105.76923076923077,1,6.875,8.125
125,107,106.85483870967742,1,6.625,7.75
125,108,107.95454545454545,1,7.125,8.25
125,109,108.87096774193549,1,6.75,7.75
125,110,110.16949152542372,1,6.5,7.375
125,111,110.88709677419355,1,6.875,7.75
125,112,112.06896551724138,1,6.5,7.25
125,113,112.90322580645162,1,7.0,7.75
125,114,114.03508771929825,1,6.5,7.125
125,115,114.75409836065573,1,7.0,7.625
125,116,116.07142857142857,1,6.5,7.0
125,117,116.80327868852459,1,7.125,7.625
125,118,118.18181818181819,1,6.5,6.875
125,119,118.85245901639344,1,7.25,7.625
125,120,119.79166666666667,1,8.625,9.0
125,121,120.76271186440678,1,7.125,7.375
125,122,121.75324675324676,1,9.375,9.625
125,123,122.76785714285714,1,6.875,7.0
125,124,123.76237623762377,1,12.5,12.625
125,125,125.0,1,6.5,6.5
125,126,126.23762376237623,1,12.75,12.625
125,127,127.23214285714286,1,7.125,7.0
125,128,128.24675324675326,1,9.875,9.625
125,129,129.23728813559322,1,7.625,7.375
125,130,130.0,1,6.5,6.25
125,131,131.14754098360655,1,8.0,7.625
125,132,132.21153846153845,1,6.875,6.5
125,133,133.19672131147541,1,8.125,7.625
125,134,134.0909090909091,1,7.375,6.875
125,135,135.20408163265307,1,6.625,6.125
125,136,136.16071428571428,1,7.625,7.0
125,137,137.01923076923077,1,7.125,6.5
125,138,138.02083333333334,1,6.625,6.0
125,139,139.1509433962264,1,7.375,6.625
125,140,140.0,1,7.0,6.25
125,141,140.95744680851064,1,6.625,5.875
125,142,142.15686274509804,1,7.25,6.375
125,143,143.22916666666666,1,6.875,6.0
125,144,144.02173913043478,1,6.625,5.75
125,145,145.0,1,7.25,6.25
125,146,145.83333333333334,1,7.0,6.0
125,147,147.22222222222223,1,6.625,5.625
125,148,147.9591836734694,1,7.25,6.125
125,149,148.93617021276594,1,7.0,5.875
125,150,150.0,1,6.75,5.625
125,151,151.1627906976744,1,6.5,5.375
125,152,152.17391304347825,1,7.0,5.75
125,153,152.77777777777777,1,6.875,5.625
125,154,154.06976744186048,1,6.625,5.375
125,155,154.76190476190476,1,6.5,5.25
125,156,155.76923076923077,1,10.125,8.125
125,157,156.97674418604652,1,6.75,5.375
125,158,158.16326530612244,1,7.75,6.125
125,159,159.0909090909091,1,7.0,5.5
125,160,159.88372093023256,1,6.875,5.375
125,161,161.11111111111111,1,7.25,5.625
125,162,161.9318181818182,1,7.125,5.5
125,163,162.7906976744186,1,7.0,5.375
125,164,163.88888888888889,1,7.375,5.625
125,165,164.77272727272728,1,7.25,5.5
125,166,165.7608695652174,1,7.625,5.75
125,167,167.22972972972974,1,12.375,9.25
125,168,168.1818181818182,1,9.25,6.875
125,169,169.11764705882354,1,8.625,6.375
125,170,169.87179487179486,1,6.625,4.875
125,171,171.05263157894737,1,6.5,4.75
125,172,171.875,1,6.875,5.0
125,173,173.07692307692307,1,6.75,4.875
125,174,173.78048780487805,1,7.125,5.125
125,175,175.0,1,7.0,5.0
125,176,176.13636363636363,1,7.75,5.5
125,177,176.82926829268294,1,7.25,5.125
125,178,178.125,1,7.125,5.0
125,179,179.05405405405406,1,6.625,4.625
125,180,179.8780487804878,1,7.375,5.125
125,181,180.92105263157896,1,6.875,4.75
125,182,181.8181818181818,1,8.0,5.5
125,183,182.9268292682927,1,7.5,5.125
125,184,184.02777777777777,1,6.625,4.5
125,185,184.7826086956522,1,8.5,5.75
125,186,185.8108108108108,1,6.875,4.625
125,187,186.90476190476193,3,19.625,4.375
125,188,188.09523809523807,3,19.75,4.375
125,189,189.1891891891892,1,7.0,4.625
125,190,190.2173913043478,1,8.75,5.75
125,191,191.1764705882353,1,6.5,4.25
125,192,192.0731707317073,1,7.875,5.125
125,193,192.85714285714286,1,6.75,4.375
125,194,194.07894736842104,1,7.375,4.75
125,195,194.85294117647058,1,6.625,4.25
125,196,195.94594594594594,1,7.25,4.625
125,197,196.96969696969697,1,6.5,4.125
125,198,197.91666666666666,1,7.125,4.5
125,199,198.86363636363637,1,8.75,5.5
125,200,200.0,1,7.0,4.375
125,201,200.75757575757575,1,6.625,4.125
125,202,202.2058823529412,1,6.875,4.25
125,203,203.125,1,6.5,4.0
125,204,203.94736842105263,1,7.75,4.75
125,205,204.86111111111111,1,7.375,4.5
125,206,205.88235294117646,1,7.0,4.25
125,207,207.03125,1,6.625,4.0
125,208,207.77027027027026,2,15.375,4.625
125,209,209.2391304347826,1,9.625,5.75
125,210,210.22727272727272,1,9.25,5.5
125,211,210.9375,1,6.75,4.0
125,212,212.12121212121212,1,7.0,4.125
125,213,213.23529411764707,1,7.25,4.25
125,214,213.81578947368422,1,8.125,4.75
125,215,214.84375,1,6.875,4.0
125,216,215.9090909090909,1,7.125,4.125
125,217,216.91176470588235,1,7.375,4.25
125,218,217.85714285714286,1,7.625,4.375
125,219,219.08602150537635,3,20.375,3.875
125,220,220.23809523809524,1,9.25,5.25
125,221,220.83333333333334,1,6.625,3.75
125,222,221.7741935483871,1,6.875,3.875
125,223,222.97297297297297,1,8.25,4.625
125,224,224.13793103448276,1,6.5,3.625
125,225,225.0,1,6.75,3.75
125,226,225.80645161290323,1,7.0,3.875
125,227,226.97368421052633,1,8.625,4.75
125,228,227.94117647058823,1,7.75,4.25
125,229,229.16666666666666,1,6.875,3.75
125,230,229.83870967741936,1,7.125,3.875
125,231,231.06060606060606,1,7.625,4.125
125,232,232.14285714285714,1,6.5,3.5
125,233,232.75862068965517,1,6.75,3.625
125,234,233.8709677419355,1,7.25,3.875
125,235,234.84848484848484,1,7.75,4.125
125,236,236.11111111111111,1,8.5,4.5
125,237,237.06896551724137,1,6.875,3.625
125,238,237.90322580645162,1,7.375,3.875
125,239,238.97058823529412,1,8.125,4.25
125,240,239.86486486486487,1,8.875,4.625
125,241,241.07142857142858,1,6.75,3.5
125,242,241.93548387096774,1,7.5,3.875
125,243,242.85714285714286,1,8.5,4.375
125,244,243.90243902439025,1,10.0,5.125
125,245,244.79166666666666,1,11.75,6.0
125,246,245.83333333333334,1,7.375,3.75
125,247,246.7948717948718,1,9.625,4.875
125,248,247.76785714285714,2,13.875,3.5
125,249,248.77450980392157,2,25.375,6.375
125,250,250.0,1,6.5,3.25
125,251,251.22549019607843,3,25.625,4.25
125,252,252.23214285714286,2,14.125,3.5
125,253,253.2051282051282,1,9.875,4.875
125,254,254.16666666666666,1,7.625,3.75
