Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,50,50.0,1,12.0,0,24.0
100,51,51.06382978723404,1,12.0,0,23.5
100,52,52.17391304347826,1,12.0,0,23.0
100,53,53.03867403314917,1,12.0,0,22.625
100,54,54.23728813559322,1,12.0,0,22.125
100,55,55.172413793103445,1,12.0,0,21.75
100,56,56.14035087719298,1,12.0,0,21.375
100,57,57.142857142857146,1,12.0,0,21.0
100,58,58.18181818181818,1,12.0,0,20.625
100,59,58.895705521472394,1,12.0,0,20.375
100,60,60.0,1,12.0,0,20.0
100,61,61.146496815286625,1,12.0,0,19.625
100,62,61.935483870967744,1,12.0,0,19.375
100,63,63.1578947368421,1,12.0,0,19.0
100,64,64.0,1,12.0,0,18.75
100,65,64.86486486486487,1,12.0,0,18.5
100,66,66.20689655172414,1,12.0,0,18.125
100,67,67.13286713286713,1,12.0,0,17.875
100,68,68.08510638297872,1,12.0,0,17.625
100,69,69.06474820143885,1,12.0,0,17.375
100,70,70.07299270072993,1,12.0,0,17.125
100,71,71.11111111111111,1,12.0,0,16.875
100,72,72.18045112781955,1,12.0,0,16.625
100,73,73.12977099236642,5,59.875,0,16.375
100,74,73.84615384615384,1,12.0,0,16.25
100,75,75.0,1,12.0,0,16.0
100,76,76.19047619047619,1,12.0,0,15.75
100,77,76.8,1,12.0,0,15.625
100,78,78.04878048780488,1,12.0,0,15.375
100,79,79.17355371900827,5,59.875,0,15.125
100,80,80.0,1,12.0,0,15.0
100,81,81.1864406779661,5,59.875,0,14.75
100,82,82.05128205128206,1,12.0,0,14.625
100,83,82.75862068965517,1,12.0,0,14.5
100,84,84.21052631578948,1,12.0,0,14.25
100,85,84.95575221238938,1,12.0,0,14.125
100,86,86.18618618618619,3,35.875,0,13.875
100,87,87.0909090909091,5,59.875,0,13.75
100,88,88.07339449541284,1,12.0,0,13.625
100,89,88.88888888888889,1,12.0,0,13.5
100,90,90.18867924528301,5,59.75,0,13.25
100,91,91.23809523809524,5,59.875,0,13.125
100,92,92.11538461538461,5,59.875,0,13.0
100,93,93.20388349514563,1,12.0,0,12.875
100,94,94.11764705882354,1,12.0,0,12.75
100,95,95.04950495049505,1,12.0,0,12.625
100,96,96.0,1,12.0,0,12.5
100,97,96.96969696969697,1,12.0,0,12.375
100,98,97.95918367346938,1,12.0,0,12.25
100,99,98.96907216494846,1,12.0,0,12.125
100,100,100.0,1,12.0,0,12.0
100,101,101.05263157894737,1,12.0,0,11.875
100,102,102.12765957446808,1,12.0,0,11.75
100,103,103.2258064516129,1,12.0,0,11.625
100,104,104.1304347826087,5,59.875,0,11.5
100,105,105.21978021978022,4,47.875,0,11.375
100,106,106.22222222222223,5,59.75,0,11.25
100,107,107.19101123595506,5,59.625,0,11.125
100,108,107.86516853932584,1,12.0,0,11.125
100,109,109.0909090909091,1,12.0,0,11.0
100,110,110.11494252873563,5,59.875,0,10.875
100,111,111.2403100775194,3,35.875,0,10.75
100,112,112.23529411764706,5,59.625,0,10.625
100,113,112.94117647058823,1,12.0,0,10.625
100,114,114.04761904761905,5,59.875,0,10.5
100,115,115.18072289156626,5,59.75,0,10.375
100,116,116.15853658536585,4,47.625,0,10.25
100,117,117.07317073170732,1,12.0,0,10.25
100,118,118.20987654320987,4,47.875,0,10.125
100,119,119.16666666666666,3,35.75,0,10.0
100,120,120.0,1,12.0,0,10.0
100,121,121.20253164556962,4,47.875,0,9.875
100,122,122.2222222222222,3,35.75,0,9.75
100,123,123.07692307692308,1,12.0,0,9.75
100,124,124.24242424242426,3,35.875,0,9.625
100,125,125.0,1,11.875,0,9.5
100,126,126.05263157894737,5,59.875,0,9.5
100,127,127.2,5,59.625,0,9.375
100,128,128.0,1,12.0,0,9.375
100,129,129.1891891891892,5,59.75,0,9.25
100,130,130.13698630136986,1,11.875,0,9.125
100,131,131.23287671232876,5,59.875,0,9.125
100,132,132.22222222222223,5,59.5,0,9.0
100,133,133.05555555555554,5,59.875,0,9.0
100,134,134.1549295774648,4,47.625,0,8.875
100,135,135.2112676056338,1,12.0,0,8.875
100,136,136.19047619047618,3,35.75,0,8.75
100,137,137.14285714285714,1,12.0,0,8.75
100,138,138.16425120772945,3,35.75,0,8.625
100,139,139.1304347826087,1,12.0,0,8.625
100,140,140.19607843137254,3,35.75,0,8.5
100,141,141.1764705882353,1,12.0,0,8.5
100,142,142.16417910447763,4,47.625,0,8.375
100,143,142.98507462686567,5,59.875,0,8.375
100,144,144.24242424242425,5,59.5,0,8.25
100,145,145.15151515151516,5,59.875,0,8.25
100,146,146.15384615384616,1,11.875,0,8.125
100,147,147.1794871794872,3,35.875,0,8.125
100,148,148.125,5,59.25,0,8.0
100,149,149.21875,2,23.875,0,8.0
100,150,150.0,1,12.0,0,8.0
100,151,151.1904761904762,4,47.625,0,7.875
100,152,152.06349206349208,5,59.875,0,7.875
100,153,153.2258064516129,1,11.875,0,7.75
100,154,154.19354838709677,5,59.75,0,7.75
100,155,154.83870967741936,1,12.0,0,7.75
100,156,156.14754098360655,4,47.625,0,7.625
100,157,157.04918032786884,5,59.875,0,7.625
100,158,158.0,5,59.25,0,7.5
100,159,159.16666666666666,2,23.875,0,7.5
100,160,160.0,1,12.0,0,7.5
100,161,161.01694915254237,1,11.875,0,7.375
100,162,162.14689265536725,3,35.875,0,7.375
100,163,163.21839080459773,3,35.5,0,7.25
100,164,164.22413793103448,4,47.625,0,7.25
100,165,165.17241379310346,5,59.875,0,7.25
100,166,166.2280701754386,4,47.375,0,7.125
100,167,167.10526315789474,4,47.625,0,7.125
100,168,168.0701754385965,5,59.875,0,7.125
100,169,169.19642857142858,4,47.375,0,7.0
100,170,170.2380952380952,3,35.75,0,7.0
100,171,171.07142857142858,5,59.875,0,7.0
100,172,172.12121212121215,3,35.5,0,6.875
100,173,173.1818181818182,4,47.625,0,6.875
100,174,174.1818181818182,5,59.875,0,6.875
100,175,175.1851851851852,5,59.125,0,6.75
100,176,175.92592592592592,1,11.875,0,6.75
100,177,177.1604938271605,3,35.875,0,6.75
100,178,177.77777777777777,1,12.0,0,6.75
100,179,179.24528301886792,1,11.875,0,6.625
100,180,180.18867924528303,2,23.875,0,6.625
100,181,181.1320754716981,1,12.0,0,6.625
100,182,182.21153846153845,4,47.375,0,6.5
100,183,183.17307692307693,4,47.625,0,6.5
100,184,184.23076923076923,5,59.875,0,6.5
