Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,100,100.24981831395348,8,344,55,43
100,101,101.24893707482993,7,297,43,42
100,102,102.24867724867724,9,386,32,42
100,103,102.85714285714286,5,216,0,42
100,104,104.24923780487805,2,85,31,41
100,105,105.24961890243902,4,172,39,41
100,106,106.24609375,10,424,63,40
100,107,107.24888392857142,7,300,19,40
100,108,108.0,5,216,0,40
100,109,109.24979967948718,8,340,55,39
100,110,110.24973290598292,6,257,63,39
100,111,110.76923076923077,5,216,0,39
100,112,112.24917763157895,10,426,35,38
100,113,113.24926900584794,9,387,20,38
100,114,114.24951737451738,7,295,58,37
100,115,115.24962462462463,9,383,50,37
100,116,116.24906156156158,9,387,7,37
100,117,116.75675675675676,5,216,0,37
100,118,118.24845679012346,9,383,8,36
100,119,119.24913194444444,2,85,55,36
100,120,120.0,5,216,0,36
100,121,121.24553571428571,10,424,23,35
100,122,122.24888392857143,8,342,19,35
100,123,123.24900793650795,9,388,15,35
100,124,124.24938725490195,3,126,47,34
100,125,125.24947478991598,7,298,6,34
100,126,126.24846813725489,6,257,35,34
100,127,127.05882352941177,5,216,0,34
100,128,128.24928977272728,8,338,37,33
100,129,129.2495265151515,4,170,39,33
100,130,130.24976325757575,8,343,55,33
100,131,130.9090909090909,5,216,0,33
100,132,132.24826388888889,9,380,56,32
100,133,133.2470703125,10,426,25,32
100,134,134.24944196428572,7,300,46,32
100,135,135.0,5,216,0,32
100,136,136.2483198924731,6,253,27,31
100,137,137.24798387096774,1,42,35,31
100,138,138.24974798387098,8,342,55,31
100,139,139.24971198156683,7,302,11,31
100,140,140.2488425925926,9,378,43,30
100,141,141.24479166666666,10,423,47,30
100,142,142.24826388888886,6,256,3,30
100,143,143.24869791666666,8,343,51,30
100,144,144.0,5,216,0,30
100,145,145.24964080459773,6,252,47,29
100,146,146.24865301724137,8,339,19,29
100,147,147.2467672413793,10,427,1,29
100,148,148.2489224137931,2,85,63,29
100,149,148.9655172413793,5,216,0,29
100,150,150.24801587301587,9,378,40,28
100,151,151.24860491071428,8,338,51,28
100,152,152.24888392857142,10,426,19,28
100,153,153.24900793650792,9,386,12,28
100,154,154.24904336734696,7,302,21,28
100,155,155.24966931216932,7,293,27,27
100,156,156.24421296296296,10,421,55,27
100,157,157.24826388888889,4,169,53,27
100,158,158.2497427983539,9,384,35,27
100,159,159.2496141975309,6,257,63,27
100,160,160.0,5,216,0,27
100,161,161.24799679487177,6,251,35,26
100,162,162.2495993589744,6,253,7,26
100,163,163.24786324786325,9,382,0,26
100,164,164.24946581196582,9,384,22,26
100,165,165.24939903846155,4,171,55,26
100,166,166.15384615384616,5,216,0,26
100,167,167.24375,10,418,7,25
100,168,168.24375,10,420,39,25
100,169,169.24375,10,423,7,25
100,170,170.24375,10,425,39,25
100,171,171.24375,10,428,7,25
100,172,172.24375,10,430,39,25
100,173,172.8,5,216,0,25
100,174,174.2476851851852,9,376,24,24
100,175,175.24956597222226,6,252,23,24
100,176,176.2478298611111,6,253,51,24
100,177,177.24971064814815,9,382,55,24
100,178,178.24869791666666,10,427,51,24
100,179,179.248046875,4,172,5,24
100,180,180.0,5,216,0,24
100,181,181.24320652173913,10,416,55,23
100,182,182.24961180124225,7,293,27,23
